"","Education","Income"
"1",10,26.6588387834389
"2",10.4013377926421,27.3064353457772
"3",10.8428093645485,22.1324101716143
"4",11.2441471571906,21.1698405046065
"5",11.6454849498328,15.1926335164307
"6",12.0869565217391,26.3989510407284
"7",12.4882943143813,17.435306578572
"8",12.8896321070234,25.5078852305278
"9",13.2909698996656,36.884594694235
"10",13.7324414715719,39.666108747637
"11",14.133779264214,34.3962805641312
"12",14.5351170568562,41.4979935356871
"13",14.9765886287625,44.9815748660704
"14",15.3779264214047,47.039595257834
"15",15.7792642140468,48.2525782901863
"16",16.2207357859532,57.0342513373801
"17",16.6220735785953,51.4909192102538
"18",17.0234113712375,61.3366205527288
"19",17.4648829431438,57.581988179306
"20",17.866220735786,68.5537140185881
"21",18.2675585284281,64.310925303692
"22",18.7090301003344,68.9590086393083
"23",19.1103678929766,74.6146392793647
"24",19.5117056856187,71.8671953042483
"25",19.9130434782609,76.098135379724
"26",20.3545150501672,75.77521802986
"27",20.7558528428094,72.4860553152424
"28",21.1571906354515,77.3550205741877
"29",21.5986622073579,72.1187904524136
"30",22,80.2605705009016
